section_id,status,similarity,v1_snippet,v2_snippet,change_type
57,Unchanged,1.0,"We review our information collection, storage, and processing practices, including physical security measures, to preven","We review our information collection, storage, and processing practices, including physical security measures, to preven",forward
58,Unchanged,1.0,You can export a copy of your information or delete it from your Google Account at any time You can export a copy of con,You can export a copy of your information or delete it from your Google Account at any time You can export a copy of con,forward
59,Unchanged,1.0,products Delete your entire Google Account Delete your information RETAINING YOUR INFORMATION We retain the data we coll,products Delete your entire Google Account Delete your information RETAINING YOUR INFORMATION We retain the data we coll,forward
60,Unchanged,1.0,automatically after a set period of time. We’ll keep this data in your Google Account until you remove it or choose to h,automatically after a set period of time. We’ll keep this data in your Google Account until you remove it or choose to h,forward
61,Unchanged,1.0,"business or legal purposes, such as security, fraud and abuse prevention, or financial record-keeping. When you delete d","business or legal purposes, such as security, fraud and abuse prevention, or financial record-keeping. When you delete d",forward
62,Unchanged,1.0,"You can read more about Google’s data retention periods, including how long it takes us to delete your information. COMP","You can read more about Google’s data retention periods, including how long it takes us to delete your information. COMP",forward
63,Unchanged,1.0,"countries, with some providing more protection than others. Regardless of where your information is processed, we apply ","countries, with some providing more protection than others. Regardless of where your information is processed, we apply ",forward
64,Unchanged,1.0,"When we receive formal written complaints, we respond by contacting the person who made the complaint. We work with the ","When we receive formal written complaints, we respond by contacting the person who made the complaint. We work with the ",forward
65,Unchanged,1.0,"including YouTube, Android, and services offered on third-party sites, such as advertising services. This Privacy Policy","including YouTube, Android, and services offered on third-party sites, such as advertising services. This Privacy Policy",forward
66,Unchanged,1.0,"offer that may include Google services to which the policy applies, or products or sites displayed to you in search resu","offer that may include Google services to which the policy applies, or products or sites displayed to you in search resu",forward
67,Unchanged,1.0,"changes are significant, we’ll provide a more prominent notice (including, for certain services, email notification of P","changes are significant, we’ll provide a more prominent notice (including, for certain services, email notification of P",forward
68,Unchanged,1.0,RELATED PRIVACY PRACTICES Specific Google services The following privacy notices provide additional information about so,RELATED PRIVACY PRACTICES Specific Google services The following privacy notices provide additional information about so,forward
69,Unchanged,1.0,"If you’re a member of an organization that uses Google Workspace or Google Cloud Platform, learn how these services coll","If you’re a member of an organization that uses Google Workspace or Google Cloud Platform, learn how these services coll",forward
70,Unchanged,1.0,Your Google Account is home to many of the settings you can use to manage your account Privacy Checkup guides you throug,Your Google Account is home to many of the settings you can use to manage your account Privacy Checkup guides you throug,forward
71,Unchanged,1.0,asked about privacy Privacy & Terms provides more context regarding this Privacy Policy and our Terms of Service Technol,asked about privacy Privacy & Terms provides more context regarding this Privacy Policy and our Terms of Service Technol,forward
72,Unchanged,1.0,"Google Commerce Ltd, Google Payment Corp, and Google Dialer Inc. Learn more about the companies providing business servi","Google Commerce Ltd, Google Payment Corp, and Google Dialer Inc. Learn more about the companies providing business servi",forward
73,Unchanged,1.0,A process or set of rules followed by a computer in performing problem-solving operations. Application data cache An app,A process or set of rules followed by a computer in performing problem-solving operations. Application data cache An app,forward
74,Unchanged,1.0,"used in ""local storage"" mode, it enables data to be stored across sessions. This makes data retrievable even after a bro","used in ""local storage"" mode, it enables data to be stored across sessions. This makes data retrievable even after a bro",forward
75,Unchanged,1.0,"can configure your browser to refuse all cookies or to indicate when a cookie is being sent. However, some website featu","can configure your browser to refuse all cookies or to indicate when a cookie is being sent. However, some website featu",forward
76,Unchanged,1.0,You may access some of our services by signing up for a Google Account and providing us with some personal information (,You may access some of our services by signing up for a Google Account and providing us with some personal information (,forward
77,Unchanged,1.0,protocol (IP) address. These numbers are usually assigned in geographic blocks. An IP address can often be used to ident,protocol (IP) address. These numbers are usually assigned in geographic blocks. An IP address can often be used to ident,forward
78,Unchanged,1.0,"Personal information This is information that you provide to us which personally identifies you, such as your name, emai","Personal information This is information that you provide to us which personally identifies you, such as your name, emai",forward
79,Unchanged,1.0,opened. Pixel tags are often used in combination with cookies. Referrer URL A Referrer URL (Uniform Resource Locator) is,opened. Pixel tags are often used in combination with cookies. Referrer URL A Referrer URL (Uniform Resource Locator) is,forward
80,Unchanged,1.0,contains the URL of the last webpage the browser visited. Sensitive personal information This is a particular category o,contains the URL of the last webpage the browser visited. Sensitive personal information This is a particular category o,forward
81,Unchanged,1.0,"address, browser type, browser language, the date and time of your request, and one or more cookies that may uniquely id","address, browser type, browser language, the date and time of your request, and one or more cookies that may uniquely id",forward
82,Unchanged,1.0,user by their service provider each time they connect to the Internet. 25/Mar/2003 10:15:32 is the date and time of the ,user by their service provider each time they connect to the Internet. 25/Mar/2003 10:15:32 is the date and time of the ,forward
83,Unchanged,1.0,"the cookie from the computer since the last time they’ve visited Google, then it will be the unique cookie ID assigned t","the cookie from the computer since the last time they’ve visited Google, then it will be the unique cookie ID assigned t",forward
84,Unchanged,1.0,"A unique identifier is a string of characters that can be used to uniquely identify a browser, app, or device. Different","A unique identifier is a string of characters that can be used to uniquely identify a browser, app, or device. Different",forward
85,Unchanged,1.0,sites display content in your browser in your preferred language. You can configure your browser to refuse all cookies o,sites display content in your browser in your preferred language. You can configure your browser to refuse all cookies o,forward
86,Unchanged,1.0,device’s settings. Unique identifiers may also be incorporated into a device by its manufacturer (sometimes called a uni,device’s settings. Unique identifiers may also be incorporated into a device by its manufacturer (sometimes called a uni,forward
87,Unchanged,1.0,"activity data on Google sites, apps, and services may be saved in your account’s Web & App Activity. Some activity may i","activity data on Google sites, apps, and services may be saved in your account’s Web & App Activity. Some activity may i",forward
88,Unchanged,1.0,"In some cases, areas that you have searched from in the past may be used to estimate a relevant location for your search","In some cases, areas that you have searched from in the past may be used to estimate a relevant location for your search",forward
89,Unchanged,1.0,Websites and apps that integrate Google services like ads and analytics share information with us. This information is c,Websites and apps that integrate Google services like ads and analytics share information with us. This information is c,forward
90,Unchanged,1.0,You can learn more about some of the ways you can control the information that is shared when you visit or interact with,You can learn more about some of the ways you can control the information that is shared when you visit or interact with,forward
91,Unchanged,1.0,service if you search for “pizza.” Learn more about Google ads and why you may see particular ads. advertising and resea,service if you search for “pizza.” Learn more about Google ads and why you may see particular ads. advertising and resea,forward
92,Unchanged,1.0,Android device with Google apps Android devices with Google apps include devices sold by Google or one of our partners a,Android device with Google apps Android devices with Google apps include devices sold by Google or one of our partners a,forward
93,Unchanged,1.0,"For example, when you’re signed in to your Google Account and have the Web & App Activity control enabled, you can get m","For example, when you’re signed in to your Google Account and have the Web & App Activity control enabled, you can get m",forward
94,Unchanged,1.0,deliver our services Examples of how we use your information to deliver our services include: We use the IP address assi,deliver our services Examples of how we use your information to deliver our services include: We use the IP address assi,forward
95,Unchanged,1.0,A flight confirmation email you receive may be used to create a “check-in” button that appears in your Gmail When you pu,A flight confirmation email you receive may be used to create a “check-in” button that appears in your Gmail When you pu,forward
96,Unchanged,1.0,"detect abuse When we detect spam, malware, illegal content (including child sexual abuse and exploitation material), and","detect abuse When we detect spam, malware, illegal content (including child sexual abuse and exploitation material), and",forward
97,Unchanged,1.0,you’d like to use to install an app or view a movie you buy from Google Play. We also use,you’d like to use to install an app or view a movie you buy from Google Play. We also use,forward
98,Unchanged,1.0,"this information to help protect your account. ensure and improve For example, we analyze how people interact with adver","this information to help protect your account. ensure and improve For example, we analyze how people interact with adver",forward
99,Unchanged,1.0,"Information about things near your device If you use Google’s Location services on Android, we can improve the performan","Information about things near your device If you use Google’s Location services on Android, we can improve the performan",forward
100,Unchanged,1.0,"enable Google Location services. Learn more legal process, or enforceable governmental request Like other technology and","enable Google Location services. Learn more legal process, or enforceable governmental request Like other technology and",forward
101,Unchanged,1.0,"regardless of type, and we frequently push back when a request appears to be overly broad or doesn’t follow the correct ","regardless of type, and we frequently push back when a request appears to be overly broad or doesn’t follow the correct ",forward
102,Unchanged,1.0,taking people too long to complete a certain task or that they have trouble finishing steps at all. We can then redesign,taking people too long to complete a certain task or that they have trouble finishing steps at all. We can then redesign,forward
103,Unchanged,1.0,"are related to visits to other websites. For example, an advertiser may want to use its Google Analytics data to create ","are related to visits to other websites. For example, an advertiser may want to use its Google Analytics data to create ",forward
104,Unchanged,1.0,facilitate research to help Internet users understand their rights. Learn more. partner with Google There are over 2 mil,facilitate research to help Internet users understand their rights. Learn more. partner with Google There are over 2 mil,forward
105,Unchanged,1.0,"cases, we may also need to verify your identity and may ask you for information to do this. We may also use payment info","cases, we may also need to verify your identity and may ask you for information to do this. We may also use payment info",forward
106,Removed or New,0.458,Performance of their ad campaigns. Learn more about the technologies used for advertising. personalized ads You may also,personalized ads You may also see personalized ads based on information from the advertiser. If you shopped on an advert,forward
107,Modified,0.859,"can be used to help you access your account if you forget your password, help people find and connect with you, and make","find and connect with you, and make the ads you see more relevant to you. Learn more Places you label like home and work",forward
108,Modified,0.928,"home or work, and for ads. You can edit or delete your home or work addresses anytime in your Google Account. protect ag","home or work, and for more useful ads. You can edit or delete your home or work addresses anytime in your Google Account",forward
109,Modified,0.763,"For example, we may collect information that’s publicly available online or from other public sources to help train Goog","public sources to help train Google’s AI models and build products and features like Google Translate, Gemini Apps, and ",forward
110,Modified,0.778,Google Docs in one browser. Blocking this cookie would prevent Google Docs from working as expected. Learn more safety a,"rely on cookies to function properly For example, we use a cookie called ‘lbcs’ that makes it possible for you to open m",forward
111,Modified,0.765,content by launching a Distributed Denial of Service (DDoS) attack. The “last account activity” feature in Gmail can hel,"automated abuse. This abuse takes many forms, such as sending spam to Gmail users, stealing money from advertisers by fr",forward
112,Modified,0.768,"you based on your activity. For example, you may see ads for things like ""Cooking and Recipes"" or ""Air Travel.” We don’t","your mail, the associated location, and the date and time of access. Learn more sensitive categories When showing you pe",forward
113,Modified,0.777,"Your device may have sensors that can be used to better understand your location and movement. For example, an accelerom",advertisers that use our services. Sensor data from your device Your device may have sensors that can be used to better ,forward
114,Removed or New,0.668,"Examples of these services include: Google Voice, for making and receiving calls, sending text messages, and managing vo","servers around the world For example, we operate data centers located around the world to help keep our products continu",forward
115,Removed or New,0.639,about particular trends at that time. Google Trends samples Google web searches to estimate the popularity of searches o,"Google Chat, for sending and receiving messages Google Duo, for making and receiving video calls and sending and receivi",forward
116,Modified,0.792,"If you use fitness products and apps we offer, such as Fitbit, Pixel Watch, Nest or Google Fit, we collect data you prov",results publicly in aggregated terms. Learn more similar information related to your physical or mental health If you us,forward
117,Removed or New,0.671,"in the Play Store. specific partners For example, we allow YouTube creators and advertisers to work with measurement com",account with Chrome or your visits to sites and apps that partner with Google. Many websites and apps partner with Googl,forward
118,Modified,0.726,synced with your Google Account Your Chrome browsing history is only saved to your account if you’ve enabled Chrome sync,cookies to understand how many different people see their product listings. Learn more about these partners and how they,forward
119,Removed or New,0.624,"services under Google's content removal policies or applicable law to assess the request, and to ensure transparency, im","offer that may include Google services to which the policy applies, or products or sites displayed to you in search resu",forward
120,Removed or New,0.402,"third parties For example, we process your information to report use statistics to rights holders about how their conten",We use the information we collect from all our services for the following purposes: Provide our services We use your inf,forward
121,Removed or New,0.681,"collect across our services include: When you’re signed in to your Google Account and search on Google, you can see sear","content you have in other Google products, like Gmail or Google Calendar. This can include things like the status of you",forward
122,Removed or New,0.588,"Google Doc or an event in Google Calendar, Google makes it easy to do so by autocompleting their email address when you ","content you have in other Google products, like Gmail or Google Calendar. This can include things like the status of you",forward
123,Removed or New,0.415,"news articles and other information about your interests, like sports scores, based on your activity. If you connect you","information and get things done through the Google Assistant. For example, you can add events to your Google Calendar or",forward
124,Removed or New,0.683,"to your phone. Learn more If you’re a user in the EU, the decisions you make on linking services will affect how certain","information and get things done through the Google Assistant. For example, you can add events to your Google Calendar or",forward
125,Removed or New,0.469,"For example, we collect information about views and interactions with ads so we can provide aggregated reports to advert","Views and interactions with content and ads For example, we collect information about views and interactions with ads so",forward
126,Modified,0.867,"your Google Account when you interact with Google Search, Assistant, and Maps. When your device detects an audio activat","Voice and audio information For example, you can choose whether you want Google to save an audio recording to your Googl",forward
127,Modified,0.864,"websites and apps partner with Google to improve their content and services. For example, a website might use our advert",account with Chrome or your visits to sites and apps that partner with Google. Many websites and apps partner with Googl,forward
128,Modified,0.85,"Analytics in conjunction with our advertising services), this data may be associated with your personal information. Lea","your account settings and the products in use (for instance, when a partner uses Google Analytics in conjunction with ou",forward
NEW_116,New in V2,0.0,,"If you use fitness products and apps we offer, such as Fitbit, Pixel Watch, Nest or Google Fit, we collect data you prov",new
NEW_120,New in V2,0.0,,"third parties For example, we process your information to report use statistics to rights holders about how their conten",new
NEW_122,New in V2,0.0,,"Google Doc or an event in Google Calendar, Google makes it easy to do so by autocompleting their email address when you ",new
